Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-05-09,2872.0,2890.0,2836.0,2831.949951171875,Profit,-40.050048828125,1,1,0,100.0
2019-01-07,2658.550048828125,2739.89990234375,2495.850341796875,2725.300048828125,Loss,66.75,2,1,1,50.0
2019-05-17,3040.050048828125,2950.0,3220.150146484375,3047.199951171875,Profit,7.14990234375,3,2,1,66.66666666666666
2019-07-05,2842.550048828125,2898.0,2731.650146484375,2740.39990234375,Profit,-102.150146484375,4,3,1,75.0
2019-09-17,2773.14990234375,2874.800048828125,2569.849609375,2929.25,Loss,156.10009765625,5,3,2,60.0
2019-12-11,3268.64990234375,3240.14990234375,3325.64990234375,3220.39990234375,Loss,-48.25,6,3,3,50.0
2020-01-30,3145.5,3108.5,3219.5,3162.800048828125,Profit,17.300048828125,7,4,3,57.14285714285714
2020-05-11,2566.300048828125,2430.0,2838.900146484375,2702.64990234375,Profit,136.349853515625,8,5,3,62.5
2020-07-03,2932.39990234375,2899.0,2999.19970703125,2852.449951171875,Loss,-79.949951171875,9,5,4,55.55555555555556
2021-10-28,3700.699951171875,3854.949951171875,3392.199951171875,3741.85009765625,Loss,41.150146484375,10,5,5,50.0
2022-06-09,3878.64990234375,3794.14990234375,4047.64990234375,3681.75,Loss,-196.89990234375,11,5,6,45.45454545454545
2022-08-01,3973.300048828125,3919.949951171875,4080.000244140625,4011.699951171875,Profit,38.39990234375,12,6,6,50.0
2022-11-28,3676.699951171875,3630.199951171875,3769.699951171875,3707.60009765625,Profit,30.900146484375,13,7,6,53.84615384615385
2023-01-05,3621.14990234375,3568.0,3727.44970703125,3574.199951171875,Loss,-46.949951171875,14,7,7,50.0
2023-02-27,3639.85009765625,3799.949951171875,3319.650390625,3715.25,Loss,75.39990234375,15,7,8,46.666666666666664
2023-09-08,4759.5498046875,4717.2001953125,4844.2490234375,4808.2998046875,Profit,48.75,16,8,8,50.0
2023-10-04,4918.60009765625,5011.25,4733.30029296875,5007.2998046875,Loss,88.69970703125,17,8,9,47.05882352941176
