Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-03-01,499.94000244140625,505.20001220703125,489.41998291015625,483.614990234375,Profit,-16.32501220703125,1,1,0,100.0
2018-05-25,607.1699829101562,586.4000244140625,648.7098999023438,595.885009765625,Loss,-11.28497314453125,2,1,1,50.0
2018-09-19,631.2050170898438,655.5,582.6150512695312,618.5650024414062,Profit,-12.6400146484375,3,2,1,66.66666666666666
2018-10-10,596.1500244140625,545.5,697.4500732421875,563.4249877929688,Loss,-32.72503662109375,4,2,2,50.0
2018-12-05,590.25,607.0,556.75,569.39501953125,Profit,-20.85498046875,5,3,2,60.0
2019-02-21,616.9099731445312,604.0,642.7299194335938,645.2650146484375,Profit,28.35504150390625,6,4,2,66.66666666666666
2019-07-16,788.1699829101562,771.0999755859375,822.3099975585938,756.635009765625,Loss,-31.53497314453125,7,4,3,57.14285714285714
2019-09-26,846.4600219726562,830.0,879.3800659179688,845.8350219726562,Loss,-0.625,8,4,4,50.0
2019-10-25,797.2150268554688,814.0999755859375,763.4451293945312,808.239990234375,Loss,11.02496337890625,9,4,5,44.44444444444444
2019-12-06,885.3099975585938,901.2000122070312,853.5299682617188,907.9099731445312,Loss,22.5999755859375,10,4,6,40.0
2020-01-14,955.4849853515625,944.5999755859375,977.2550048828125,971.5,Profit,16.0150146484375,11,5,6,45.45454545454545
2020-03-18,631.02001953125,715.0,463.06005859375,462.1050109863281,Profit,-168.91500854492188,12,6,6,50.0
2020-04-17,499.9700012207031,487.6000061035156,524.7099914550781,477.57501220703125,Loss,-22.394989013671875,13,6,7,46.15384615384615
2020-09-09,602.6799926757812,620.8800048828125,566.2799682617188,611.2150268554688,Loss,8.5350341796875,14,6,8,42.857142857142854
2021-02-22,1000.0599975585938,1023.0,954.1799926757812,1026.4449462890625,Loss,26.38494873046875,15,6,9,40.0
2021-03-03,1039.56005859375,992.6400146484375,1133.400146484375,983.9099731445312,Loss,-55.65008544921875,16,6,10,37.5
2021-03-08,983.9099731445312,997.0,957.7299194335938,993.4099731445312,Loss,9.5,17,6,11,35.294117647058826
2021-04-28,1048.9300537109375,1020.0,1106.7901611328125,1104.1700439453125,Profit,55.239990234375,18,7,11,38.88888888888889
2021-05-07,1131.844970703125,1105.0,1185.534912109375,1108.7950439453125,Loss,-23.0499267578125,19,7,12,36.84210526315789
2021-06-04,1215.56494140625,1185.5,1275.69482421875,1155.885009765625,Loss,-59.679931640625,20,7,13,35.0
2021-11-08,1831.9749755859375,1765.0899658203125,1965.7449951171875,1787.135009765625,Loss,-44.8399658203125,21,7,14,33.33333333333333
2022-02-07,1571.135009765625,1616.0,1481.405029296875,1639.3599853515625,Loss,68.2249755859375,22,7,15,31.818181818181817
2022-08-22,1587.1700439453125,1628.800048828125,1503.9100341796875,1624.6300048828125,Loss,37.4599609375,23,7,16,30.434782608695656
2022-09-16,1734.9000244140625,1772.199951171875,1660.3001708984375,1802.0,Loss,67.0999755859375,24,7,17,29.166666666666668
2023-06-23,1501.949951171875,1507.5,1490.849853515625,1522.949951171875,Loss,21.0,25,7,18,28.000000000000004
2023-09-28,1539.699951171875,1565.0,1489.099853515625,1532.550048828125,Profit,-7.14990234375,26,8,18,30.76923076923077
