Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-01-30,1678.4000244140625,1715.0,1605.2000732421875,1628.9000244140625,Profit,-49.5,1,1,0,100.0
2018-09-10,2615.64990234375,2732.0,2382.94970703125,2672.199951171875,Loss,56.550048828125,2,1,1,50.0
2018-11-12,2277.60009765625,2375.35009765625,2082.10009765625,2341.300048828125,Loss,63.699951171875,3,1,2,33.33333333333333
2020-03-18,3061.35009765625,3490.0,2204.05029296875,2266.14990234375,Profit,-795.2001953125,4,2,2,50.0
2020-07-27,3171.14990234375,3263.0,2987.44970703125,3218.300048828125,Loss,47.150146484375,5,2,3,40.0
2021-01-11,4984.25,5108.0,4736.75,4877.35009765625,Profit,-106.89990234375,6,3,3,50.0
2021-01-18,4719.85009765625,4870.0,4419.55029296875,5118.2998046875,Loss,398.44970703125,7,3,4,42.857142857142854
2021-03-08,5320.64990234375,5469.0,5023.94970703125,5557.85009765625,Loss,237.2001953125,8,3,5,37.5
2021-04-19,4479.60009765625,4450.0,4538.80029296875,4667.7998046875,Loss,188.19970703125,9,3,6,33.33333333333333
2021-12-20,6634.14990234375,6850.0,6202.44970703125,6917.75,Loss,283.60009765625,10,3,7,30.0
2021-12-23,6917.75,6840.0,7073.25,6906.64990234375,Loss,-11.10009765625,11,3,8,27.27272727272727
2022-09-06,7119.35009765625,7228.75,6900.55029296875,7180.89990234375,Loss,61.5498046875,12,3,9,25.0
2022-09-29,7104.75,7312.5,6689.25,7488.7001953125,Loss,383.9501953125,13,3,10,23.076923076923077
2023-01-25,5795.89990234375,5850.0498046875,5687.60009765625,5886.39990234375,Loss,90.5,14,3,11,21.428571428571427
2023-03-08,5996.85009765625,6129.0,5732.55029296875,5833.5498046875,Profit,-163.30029296875,15,4,11,26.666666666666668
2023-06-13,7166.75,7100.0,7300.25,7203.2001953125,Profit,36.4501953125,16,5,11,31.25
2023-06-30,7160.60009765625,7100.0,7281.80029296875,7838.75,Profit,678.14990234375,17,6,11,35.294117647058826
2023-07-26,7433.14990234375,7635.0,7029.44970703125,7300.2998046875,Profit,-132.85009765625,18,7,11,38.88888888888889
2023-08-02,7203.4501953125,7290.0,7030.3505859375,7122.14990234375,Profit,-81.30029296875,19,8,11,42.10526315789473
