Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-01-23,1723.3499755859375,1690.0,1790.0499267578125,1742.5,Profit,19.1500244140625,1,1,0,100.0
2018-12-05,1603.5999755859375,1630.0,1550.7999267578125,1554.449951171875,Profit,-49.1500244140625,2,2,0,100.0
2019-07-03,1470.5999755859375,1430.0,1551.7999267578125,1476.5,Profit,5.9000244140625,3,3,0,100.0
2019-07-29,1432.300048828125,1410.0,1476.900146484375,1398.6500244140625,Loss,-33.6500244140625,4,3,1,75.0
2020-01-24,1316.0999755859375,1334.0,1280.2999267578125,1258.25,Profit,-57.8499755859375,5,4,1,80.0
2020-03-18,460.79998779296875,629.0,124.39996337890625,336.45001220703125,Profit,-124.3499755859375,6,5,1,83.33333333333334
2020-03-23,336.45001220703125,396.3500061035156,216.6500244140625,435.8999938964844,Loss,99.44998168945312,7,5,2,71.42857142857143
2020-07-29,550.5,534.0,583.5,503.04998779296875,Loss,-47.45001220703125,8,5,3,62.5
2020-08-07,509.0,496.0,535.0,520.6500244140625,Profit,11.6500244140625,9,6,3,66.66666666666666
2020-10-01,592.2000122070312,540.0,696.6000366210938,619.0999755859375,Profit,26.89996337890625,10,7,3,70.0
2021-02-22,1022.9000244140625,1064.949951171875,938.8001708984375,1109.75,Loss,86.8499755859375,11,7,4,63.63636363636363
2021-09-14,1036.5999755859375,999.0,1111.7999267578125,1130.0,Profit,93.4000244140625,12,8,4,66.66666666666666
2022-07-07,861.0,841.0,901.0,847.0499877929688,Loss,-13.95001220703125,13,8,5,61.53846153846154
2022-09-07,1089.949951171875,1095.0,1079.849853515625,1136.8499755859375,Loss,46.9000244140625,14,8,6,57.14285714285714
2022-12-21,1201.800048828125,1236.0,1133.400146484375,1195.699951171875,Profit,-6.10009765625,15,9,6,60.0
2023-02-17,1114.699951171875,1142.0,1060.099853515625,1092.75,Profit,-21.949951171875,16,10,6,62.5
2023-04-27,1144.75,1140.0,1154.25,1146.1500244140625,Profit,1.4000244140625,17,11,6,64.70588235294117
2023-05-10,1172.550048828125,1155.0,1207.650146484375,1219.550048828125,Profit,47.0,18,12,6,66.66666666666666
2023-05-29,1284.949951171875,1272.199951171875,1310.449951171875,1290.1500244140625,Profit,5.2000732421875,19,13,6,68.42105263157895
2023-11-07,1486.4000244140625,1469.550048828125,1520.0999755859375,1498.800048828125,Profit,12.4000244140625,20,14,6,70.0
