Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-05-31,1740.699951171875,1680.0,1862.099853515625,1610.300048828125,Loss,-130.39990234375,1,0,1,0.0
2018-07-06,1667.949951171875,1644.0,1715.849853515625,1790.949951171875,Profit,123.0,2,1,1,50.0
2018-09-07,1965.0999755859375,1890.0,2115.2999267578125,1879.5,Loss,-85.5999755859375,3,1,2,33.33333333333333
2018-12-05,1546.0,1575.0,1488.0,1476.25,Profit,-69.75,4,2,2,50.0
2019-01-09,1755.6500244140625,1696.0999755859375,1874.7501220703125,1729.199951171875,Loss,-26.4500732421875,5,2,3,40.0
2019-01-31,1760.8499755859375,1730.0,1822.5499267578125,1814.800048828125,Profit,53.9500732421875,6,3,3,50.0
2019-04-22,1667.550048828125,1655.0999755859375,1692.4501953125,1710.75,Profit,43.199951171875,7,4,3,57.14285714285714
2019-06-18,1746.300048828125,1774.949951171875,1689.000244140625,1700.75,Profit,-45.550048828125,8,5,3,62.5
2019-10-07,1479.949951171875,1501.5,1436.849853515625,1476.4000244140625,Profit,-3.5499267578125,9,6,3,66.66666666666666
2020-01-14,1877.949951171875,1830.0,1973.849853515625,1902.3499755859375,Profit,24.4000244140625,10,7,3,70.0
2020-04-22,1418.449951171875,1448.0,1359.349853515625,1450.6500244140625,Loss,32.2000732421875,11,7,4,63.63636363636363
2020-06-24,1926.4000244140625,1890.0,1999.2000732421875,1936.449951171875,Profit,10.0499267578125,12,8,4,66.66666666666666
2021-04-05,4269.5,4115.0,4578.5,4326.0498046875,Profit,56.5498046875,13,9,4,69.23076923076923
2021-06-11,4173.85009765625,4050.0,4421.55029296875,4209.5,Profit,35.64990234375,14,10,4,71.42857142857143
2022-03-21,5992.39990234375,6189.89990234375,5597.39990234375,6177.35009765625,Loss,184.9501953125,15,10,5,66.66666666666666
2022-06-09,4370.7001953125,4275.0,4562.1005859375,4191.2001953125,Loss,-179.5,16,10,6,62.5
2022-09-05,4496.5,4517.5,4454.5,4523.4501953125,Loss,26.9501953125,17,10,7,58.82352941176471
2022-12-05,4975.39990234375,5080.0,4766.19970703125,4558.7998046875,Loss,-416.60009765625,18,10,8,55.55555555555556
2022-12-21,4424.25,4384.0498046875,4504.650390625,4348.9501953125,Loss,-75.2998046875,19,10,9,52.63157894736842
2023-02-08,4714.7001953125,4630.0,4884.1005859375,4621.0,Loss,-93.7001953125,20,10,10,50.0
2023-07-21,4922.75,4895.0,4978.25,4860.5498046875,Profit,-62.2001953125,21,11,10,52.38095238095239
