Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-06-14,277.79998779296875,269.79998779296875,293.79998779296875,267.04998779296875,Loss,-10.75,1,0,1,0.0
2018-12-04,209.5,214.75,199.0,206.5500030517578,Profit,-2.9499969482421875,2,1,1,50.0
2019-06-26,272.6499938964844,260.0,297.9499816894531,271.54998779296875,Loss,-1.100006103515625,3,1,2,33.33333333333333
2020-02-24,369.1000061035156,378.8999938964844,349.5000305175781,363.29998779296875,Profit,-5.800018310546875,4,2,2,50.0
2020-05-18,347.1000061035156,351.20001220703125,338.8999938964844,360.29998779296875,Loss,13.199981689453125,5,2,3,40.0
2020-12-04,563.5,552.0,586.5,565.5,Profit,2.0,6,3,3,50.0
2021-01-11,629.0,613.0,661.0,614.0,Loss,-15.0,7,3,4,42.857142857142854
2021-04-09,679.7999877929688,670.0,699.3999633789062,659.2999877929688,Loss,-20.5,8,3,5,37.5
2021-05-17,653.2999877929688,646.0,667.8999633789062,644.9000244140625,Loss,-8.39996337890625,9,3,6,33.33333333333333
2021-06-28,765.6500244140625,762.0,772.9500732421875,756.0499877929688,Loss,-9.60003662109375,10,3,7,30.0
2021-10-06,820.6500244140625,809.3499755859375,843.2501220703125,816.25,Loss,-4.4000244140625,11,3,8,27.27272727272727
2021-10-13,848.1500244140625,820.0,904.4500732421875,843.2999877929688,Loss,-4.85003662109375,12,3,9,25.0
2021-12-17,726.3499755859375,738.0,703.0499267578125,714.9500122070312,Profit,-11.39996337890625,13,4,9,30.76923076923077
2022-01-19,717.6500244140625,734.9500122070312,683.050048828125,691.4500122070312,Profit,-26.20001220703125,14,5,9,35.714285714285715
2022-03-15,748.5999755859375,724.0,797.7999267578125,747.7999877929688,Loss,-0.79998779296875,15,5,10,33.33333333333333
2022-06-16,724.9500122070312,748.75,677.3500366210938,727.25,Loss,2.29998779296875,16,5,11,31.25
2023-04-17,713.2000122070312,717.0,705.6000366210938,703.4000244140625,Profit,-9.79998779296875,17,6,11,35.294117647058826
