Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-06-06,57.974998474121094,57.44499969482422,59.034996032714844,58.8650016784668,Profit,0.8900032043457031,1,1,0,100.0
2018-06-26,54.95000076293945,55.834999084472656,53.18000411987305,56.775001525878906,Loss,1.8250007629394531,2,1,1,50.0
2018-06-29,56.775001525878906,55.19499969482422,59.93500518798828,57.11000061035156,Profit,0.33499908447265625,3,2,1,66.66666666666666
2018-08-20,59.939998626708984,58.29999923706055,63.21999740600586,57.560001373291016,Loss,-2.3799972534179688,4,2,2,50.0
2019-01-25,45.290000915527344,46.220001220703125,43.43000030517578,46.744998931884766,Loss,1.4549980163574219,5,2,3,40.0
2019-02-20,49.1150016784668,47.25,52.84500503540039,50.5099983215332,Profit,1.3949966430664062,6,3,3,50.0
2019-03-05,52.17499923706055,50.84000015258789,54.84499740600586,50.78499984741211,Loss,-1.3899993896484375,7,3,4,42.857142857142854
2020-09-17,39.869998931884766,40.19499969482422,39.21999740600586,37.415000915527344,Profit,-2.454998016357422,8,4,4,50.0
2021-01-07,72.27999877929688,69.30000305175781,78.239990234375,69.48999786376953,Loss,-2.7900009155273438,9,4,5,44.44444444444444
2021-03-03,77.71499633789062,74.0999984741211,84.94499206542969,73.7249984741211,Loss,-3.9899978637695312,10,4,6,40.0
2021-03-17,70.44000244140625,72.49500274658203,66.33000183105469,74.3499984741211,Loss,3.9099960327148438,11,4,7,36.36363636363637
2021-08-20,137.55999755859375,144.5050048828125,123.66998291015625,139.02000427246094,Loss,1.4600067138671875,12,4,8,33.33333333333333
2021-10-13,135.42999267578125,132.5500030517578,141.18997192382812,136.69000244140625,Profit,1.260009765625,13,5,8,38.46153846153847
2021-11-26,111.2300033569336,115.79000091552734,102.1100082397461,108.25499725341797,Profit,-2.975006103515625,14,6,8,42.857142857142854
2022-07-15,88.37999725341797,90.5,84.1399917602539,92.84500122070312,Loss,4.465003967285156,15,6,9,40.0
2022-08-19,110.05000305175781,112.55000305175781,105.05000305175781,106.55000305175781,Profit,-3.5,16,7,9,43.75
2023-01-24,120.4000015258789,122.5,116.20000457763672,118.75,Profit,-1.6500015258789062,17,8,9,47.05882352941176
2023-10-09,123.8499984741211,124.80000305175781,121.94998931884766,125.9000015258789,Loss,2.0500030517578125,18,8,10,44.44444444444444
2023-11-13,121.0,120.8499984741211,121.30000305175781,125.19999694824219,Profit,4.1999969482421875,19,9,10,47.368421052631575
