Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-01-05,1344.5999755859375,1325.0,1383.7999267578125,1403.300048828125,Profit,58.7000732421875,1,1,0,100.0
2018-07-03,1874.050048828125,1859.949951171875,1902.250244140625,1912.949951171875,Profit,38.89990234375,2,2,0,100.0
2018-12-04,2010.8499755859375,1983.0,2066.5499267578125,1995.199951171875,Loss,-15.6500244140625,3,2,1,66.66666666666666
2019-04-09,2091.5,2070.0,2134.5,2014.5,Loss,-77.0,4,2,2,50.0
2019-08-08,2258.10009765625,2228.89990234375,2316.50048828125,2204.39990234375,Loss,-53.7001953125,5,2,3,40.0
2019-10-25,2124.949951171875,2094.0,2186.849853515625,2252.800048828125,Profit,127.85009765625,6,3,3,50.0
2019-11-08,2129.949951171875,2189.60009765625,2010.649658203125,2196.800048828125,Loss,66.85009765625,7,3,4,42.857142857142854
2019-12-26,2201.949951171875,2216.39990234375,2173.050048828125,2161.699951171875,Profit,-40.25,8,4,4,50.0
2020-01-13,2190.35009765625,2217.85009765625,2135.35009765625,2238.800048828125,Loss,48.449951171875,9,4,5,44.44444444444444
2020-02-27,2105.5,2119.949951171875,2076.60009765625,2036.199951171875,Profit,-69.300048828125,10,5,5,50.0
2020-06-10,2108.75,2077.050048828125,2172.14990234375,2029.9000244140625,Loss,-78.8499755859375,11,5,6,45.45454545454545
2020-09-29,2488.39990234375,2434.85009765625,2595.49951171875,2705.800048828125,Profit,217.400146484375,12,6,6,50.0
2020-11-09,2726.60009765625,2731.10009765625,2717.60009765625,2671.050048828125,Loss,-55.550048828125,13,6,7,46.15384615384615
2021-06-07,3183.199951171875,3145.0,3259.599853515625,3216.800048828125,Profit,33.60009765625,14,7,7,50.0
2022-02-11,3694.949951171875,3752.5,3579.849853515625,3813.10009765625,Loss,118.150146484375,15,7,8,46.666666666666664
2022-05-17,3451.60009765625,3370.0,3614.80029296875,3293.0,Loss,-158.60009765625,16,7,9,43.75
2022-05-30,3375.25,3297.0,3531.75,3423.0,Profit,47.75,17,8,9,47.05882352941176
2023-06-09,3209.300048828125,3245.0,3137.900146484375,3251.050048828125,Loss,41.75,18,8,10,44.44444444444444
2023-06-30,3302.25,3220.0,3466.75,3319.949951171875,Profit,17.699951171875,19,9,10,47.368421052631575
