Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-01-04,4345.5,4302.10009765625,4432.2998046875,4426.85009765625,Profit,81.35009765625,1,1,0,100.0
2018-05-02,4016.5,4112.7998046875,3823.900390625,4033.39990234375,Loss,16.89990234375,2,1,1,50.0
2018-08-31,4475.5,4426.0,4574.5,4159.4501953125,Loss,-316.0498046875,3,1,2,33.33333333333333
2018-10-19,3609.60009765625,3610.0,3608.80029296875,3383.550048828125,Profit,-226.050048828125,4,2,2,50.0
2019-01-31,3519.35009765625,3454.0,3650.05029296875,3461.75,Loss,-57.60009765625,5,2,3,40.0
2019-05-09,4478.39990234375,4494.0,4447.19970703125,4424.2998046875,Profit,-54.10009765625,6,3,3,50.0
2019-09-12,4002.050048828125,3920.0,4166.150146484375,3900.39990234375,Loss,-101.650146484375,7,3,4,42.857142857142854
2019-10-01,4212.60009765625,4368.0,3901.80029296875,3870.39990234375,Profit,-342.2001953125,8,4,4,50.0
2020-05-29,3904.85009765625,3809.0,4096.55029296875,3855.89990234375,Loss,-48.9501953125,9,4,5,44.44444444444444
2020-12-15,5156.85009765625,5070.0,5330.55029296875,5152.5,Loss,-4.35009765625,10,4,6,40.0
2020-12-21,5007.85009765625,5155.0,4713.55029296875,5044.75,Loss,36.89990234375,11,4,7,36.36363636363637
2021-01-15,5452.25,5587.0,5182.75,5547.10009765625,Loss,94.85009765625,12,4,8,33.33333333333333
2021-03-03,6500.5,6450.0,6601.5,6668.14990234375,Profit,167.64990234375,13,5,8,38.46153846153847
2021-03-12,6638.14990234375,6768.0,6378.44970703125,6520.25,Profit,-117.89990234375,14,6,8,42.857142857142854
2022-04-08,6837.0,6799.0,6913.0,6730.0498046875,Loss,-106.9501953125,15,6,9,40.0
2022-07-27,6535.35009765625,6390.2998046875,6825.45068359375,6657.64990234375,Profit,122.2998046875,16,7,9,43.75
2022-12-21,6950.7001953125,7130.5,6591.1005859375,7074.0,Loss,123.2998046875,17,7,10,41.17647058823529
2023-06-30,8294.75,8300.0,8284.25,8377.2001953125,Profit,82.4501953125,18,8,10,44.44444444444444
2023-07-19,8329.2001953125,8166.0,8655.6005859375,8219.849609375,Loss,-109.3505859375,19,8,11,42.10526315789473
