Entry_Date,Entry,Stop_Loss,Target,Eighth_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-04-20,9025.0,9082.0,8911.0,8934.599609375,Profit,-90.400390625,1,1,0,100.0
2018-05-28,8709.2998046875,8560.0,9007.8994140625,8537.2001953125,Loss,-172.099609375,2,1,1,50.0
2020-04-17,5505.0,5325.0,5865.0,5180.85009765625,Loss,-324.14990234375,3,1,2,33.33333333333333
2020-05-22,5134.2998046875,5010.0,5382.8994140625,5468.35009765625,Profit,334.05029296875,4,2,2,50.0
2020-09-04,7190.10009765625,6985.0,7600.30029296875,7215.25,Profit,25.14990234375,5,3,2,60.0
2020-12-30,7612.89990234375,7497.0,7844.69970703125,7702.2998046875,Profit,89.39990234375,6,4,2,66.66666666666666
2021-05-24,6871.60009765625,6802.0,7010.80029296875,6968.89990234375,Profit,97.2998046875,7,5,2,71.42857142857143
2021-08-10,7001.9501953125,7045.2001953125,6915.4501953125,7002.2001953125,Loss,0.25,8,5,3,62.5
2021-11-09,7577.5498046875,7709.0,7314.6494140625,7479.85009765625,Profit,-97.69970703125,9,6,3,66.66666666666666
2023-01-10,8293.150390625,8380.0,8119.451171875,8453.400390625,Loss,160.25,10,6,4,60.0
2023-04-21,8558.4501953125,8679.400390625,8316.5498046875,8506.900390625,Profit,-51.5498046875,11,7,4,63.63636363636363
