Entry_Date,Entry,Stop_Loss,Target,Eighth_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-07-17,10511.75,10202.0,11131.25,10348.2001953125,Loss,-163.5498046875,1,0,1,0.0
2018-08-09,10882.4501953125,10767.0,11113.3505859375,10856.9501953125,Loss,-25.5,2,0,2,0.0
2018-09-11,10047.7001953125,10300.0,9543.1005859375,10175.0498046875,Loss,127.349609375,3,0,3,0.0
2018-11-27,10518.400390625,10450.0,10655.201171875,10764.849609375,Profit,246.44921875,4,1,3,25.0
2019-02-25,10831.650390625,10739.0,11016.951171875,10639.75,Loss,-191.900390625,5,1,4,20.0
2019-12-13,14301.599609375,14190.0,14524.798828125,14191.099609375,Loss,-110.5,6,1,5,16.666666666666664
2021-12-20,18881.25,19000.0,18643.75,19208.55078125,Loss,327.30078125,7,1,6,14.285714285714285
2022-02-11,17815.19921875,18135.0,17175.59765625,18223.80078125,Loss,408.6015625,8,1,7,12.5
2023-10-11,23202.05078125,22968.05078125,23670.05078125,23108.55078125,Loss,-93.5,9,1,8,11.11111111111111
2023-10-19,24132.349609375,23256.900390625,25883.248046875,24262.69921875,Profit,130.349609375,10,2,8,20.0
