Entry_Date,Entry,Stop_Loss,Target,Eighth_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2019-03-06,1252.923583984375,1228.1583251953125,1302.4541015625,1291.8544921875,Profit,38.930908203125,1,1,0,100.0
2019-12-13,1568.03662109375,1565.163818359375,1573.7822265625,1561.052734375,Loss,-6.98388671875,2,1,1,50.0
2020-03-06,1259.0653076171875,1258.07470703125,1261.0465087890625,1053.0184326171875,Profit,-206.046875,3,2,1,66.66666666666666
2020-03-19,909.0828247070312,911.4602661132812,904.3279418945312,934.54150390625,Loss,25.45867919921875,4,2,2,50.0
2020-06-30,1704.0999755859375,1737.0,1638.2999267578125,1787.9000244140625,Loss,83.800048828125,5,2,3,40.0
2021-05-25,1963.1500244140625,1996.4000244140625,1896.6500244140625,2094.800048828125,Loss,131.6500244140625,6,2,4,33.33333333333333
2021-07-02,2129.050048828125,2097.0,2193.150146484375,2110.050048828125,Loss,-19.0,7,2,5,28.57142857142857
2021-10-29,2536.25,2596.14990234375,2416.4501953125,2483.60009765625,Profit,-52.64990234375,8,3,5,37.5
2022-07-19,2437.10009765625,2400.300048828125,2510.7001953125,2503.10009765625,Profit,66.0,9,4,5,44.44444444444444
2022-10-25,2441.550048828125,2499.0,2326.650146484375,2549.60009765625,Loss,108.050048828125,10,4,6,40.0
2022-11-07,2606.60009765625,2591.0,2637.80029296875,2631.800048828125,Profit,25.199951171875,11,5,6,45.45454545454545
