Entry_Date,Entry,Stop_Loss,Target,Eighth_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-05-07,1710.4749755859375,1745.0,1641.4249267578125,1725.625,Loss,15.1500244140625,1,0,1,0.0
2018-07-17,2002.1500244140625,1989.0,2028.4500732421875,1996.5999755859375,Loss,-5.550048828125,2,0,2,0.0
2018-12-19,1968.449951171875,1984.800048828125,1935.749755859375,1918.5,Profit,-49.949951171875,3,1,2,33.33333333333333
2019-05-24,2048.0,2070.0,2004.0,2107.550048828125,Loss,59.550048828125,4,1,3,25.0
2019-10-09,2020.0999755859375,2060.0,1940.2999267578125,2021.0,Loss,0.9000244140625,5,1,4,20.0
2019-12-02,2021.050048828125,2060.0,1943.150146484375,2121.300048828125,Loss,100.25,6,1,5,16.666666666666664
2020-04-29,1905.6500244140625,1874.0,1968.9500732421875,1932.75,Profit,27.0999755859375,7,2,5,28.57142857142857
2020-06-01,2045.25,1990.0,2155.75,2091.550048828125,Profit,46.300048828125,8,3,5,37.5
2020-07-02,2157.14990234375,2102.0,2267.44970703125,2269.89990234375,Profit,112.75,9,4,5,44.44444444444444
2021-06-17,3317.75,3265.5,3422.25,3301.199951171875,Loss,-16.550048828125,10,4,6,40.0
2022-05-25,3167.64990234375,3292.85009765625,2917.24951171875,3375.25,Loss,207.60009765625,11,4,7,36.36363636363637
2022-08-11,3422.5,3400.0,3467.5,3401.10009765625,Loss,-21.39990234375,12,4,8,33.33333333333333
