Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-08-28,147.38038635253906,136.4407501220703,169.25965881347656,144.52517700195312,Loss,-2.8552093505859375,1,0,1,0.0
2018-10-15,152.4499969482422,147.0,163.34999084472656,168.75,Profit,16.300003051757812,2,1,1,50.0
2018-11-12,160.25,166.0,148.75,162.85000610351562,Loss,2.600006103515625,3,1,2,33.33333333333333
2019-03-12,148.39999389648438,140.5,164.19998168945312,141.85000610351562,Loss,-6.54998779296875,4,1,3,25.0
2019-03-20,139.4499969482422,142.0,134.34999084472656,138.3000030517578,Profit,-1.149993896484375,5,2,3,40.0
2019-07-18,134.1999969482422,137.6999969482422,127.19999694824219,134.0500030517578,Profit,-0.149993896484375,6,3,3,50.0
2019-10-14,147.10000610351562,137.89999389648438,165.50003051757812,162.5500030517578,Profit,15.449996948242188,7,4,3,57.14285714285714
2019-12-12,210.39999389648438,206.89999389648438,217.39999389648438,211.1999969482422,Profit,0.8000030517578125,8,5,3,62.5
2019-12-18,208.14999389648438,211.8000030517578,200.8499755859375,214.5500030517578,Loss,6.4000091552734375,9,5,4,55.55555555555556
2020-08-24,248.6999969482422,236.0,274.09999084472656,286.70001220703125,Profit,38.00001525878906,10,6,4,60.0
2020-11-12,365.54998779296875,358.20001220703125,380.24993896484375,394.29998779296875,Profit,28.75,11,7,4,63.63636363636363
2021-03-02,872.5499877929688,857.4000244140625,902.8499145507812,909.9000244140625,Profit,37.35003662109375,12,8,4,66.66666666666666
2021-04-12,1074.4000244140625,1177.4000244140625,868.4000244140625,1159.0,Loss,84.5999755859375,13,8,5,61.53846153846154
2021-06-14,1501.449951171875,1441.449951171875,1621.449951171875,1367.699951171875,Profit,-133.75,14,9,5,64.28571428571429
2021-10-13,1569.699951171875,1568.449951171875,1572.199951171875,1569.449951171875,Loss,-0.25,15,9,6,60.0
2021-12-17,1645.300048828125,1698.949951171875,1538.000244140625,1658.0999755859375,Loss,12.7999267578125,16,9,7,56.25
2023-04-21,1803.0,1846.0,1717.0,1847.9000244140625,Loss,44.9000244140625,17,9,8,52.94117647058824
2023-04-28,1924.949951171875,1868.050048828125,2038.749755859375,1911.25,Loss,-13.699951171875,18,9,9,50.0
