Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-03-12,1129.6500244140625,1152.0,1084.9500732421875,1096.0,Profit,-33.6500244140625,1,1,0,100.0
2018-04-19,1122.0,1084.0,1198.0,1106.8499755859375,Loss,-15.1500244140625,2,1,1,50.0
2018-11-26,1250.1500244140625,1222.0,1306.4500732421875,1245.8499755859375,Loss,-4.300048828125,3,1,2,33.33333333333333
2019-02-21,1152.199951171875,1135.0,1186.599853515625,1157.3499755859375,Profit,5.1500244140625,4,2,2,50.0
2019-03-20,1166.0,1147.699951171875,1202.60009765625,1151.9000244140625,Loss,-14.0999755859375,5,2,3,40.0
2019-04-05,1245.0,1268.0,1199.0,1246.25,Loss,1.25,6,2,4,33.33333333333333
2019-04-30,1216.5,1239.800048828125,1169.89990234375,1190.300048828125,Profit,-26.199951171875,7,3,4,42.857142857142854
2019-05-14,1142.5,1175.9000244140625,1075.699951171875,1141.199951171875,Profit,-1.300048828125,8,4,4,50.0
2019-08-09,1358.800048828125,1331.0,1414.400146484375,1470.5999755859375,Profit,111.7999267578125,9,5,4,55.55555555555556
2019-12-13,1353.0,1393.0,1273.0,1384.8499755859375,Loss,31.8499755859375,10,5,5,50.0
2020-04-15,1360.550048828125,1295.0,1491.650146484375,1450.949951171875,Profit,90.39990234375,11,6,5,54.54545454545454
2021-05-19,3229.699951171875,3180.199951171875,3328.699951171875,3261.10009765625,Profit,31.400146484375,12,7,5,58.333333333333336
2022-08-19,4135.35009765625,4291.0,3824.05029296875,4210.75,Loss,75.39990234375,13,7,6,53.84615384615385
2023-04-11,4271.2998046875,4263.0,4287.8994140625,4386.7001953125,Profit,115.400390625,14,8,6,57.14285714285714
2023-05-05,4602.5,4550.0,4707.5,4601.2998046875,Loss,-1.2001953125,15,8,7,53.333333333333336
2023-09-25,5097.0498046875,5014.89990234375,5261.349609375,5020.10009765625,Loss,-76.94970703125,16,8,8,50.0
2023-10-25,4859.89990234375,4960.0,4659.69970703125,4841.75,Profit,-18.14990234375,17,9,8,52.94117647058824
