Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-05-21,3492.89990234375,3578.60009765625,3321.49951171875,3489.89990234375,Profit,-3.0,1,1,0,100.0
2019-04-12,2639.89990234375,2597.0,2725.69970703125,2741.550048828125,Profit,101.650146484375,2,2,0,100.0
2019-05-23,2743.5,2740.0,2750.5,2743.10009765625,Loss,-0.39990234375,3,2,1,66.66666666666666
2019-06-13,2705.10009765625,2730.0,2655.30029296875,2667.800048828125,Profit,-37.300048828125,4,3,1,75.0
2019-07-05,2512.300048828125,2618.0,2300.900146484375,2400.0,Profit,-112.300048828125,5,4,1,80.0
2019-07-11,2507.800048828125,2428.0,2667.400146484375,2544.35009765625,Profit,36.550048828125,6,5,1,83.33333333333334
2020-02-14,2356.5,2424.0,2221.5,2251.60009765625,Profit,-104.89990234375,7,6,1,85.71428571428571
2020-02-24,2184.199951171875,2220.0,2112.599853515625,2110.25,Profit,-73.949951171875,8,7,1,87.5
2020-05-11,2088.64990234375,2015.0,2235.94970703125,2241.35009765625,Profit,152.7001953125,9,8,1,88.88888888888889
2021-04-27,2905.5,2875.0,2966.5,2819.14990234375,Loss,-86.35009765625,10,8,2,80.0
2021-05-06,2913.300048828125,2818.0,3103.900146484375,2838.35009765625,Loss,-74.949951171875,11,8,3,72.72727272727273
2021-07-15,2884.64990234375,2910.0,2833.94970703125,2839.0,Profit,-45.64990234375,12,9,3,75.0
2021-08-16,2747.35009765625,2775.0,2692.05029296875,2697.5,Profit,-49.85009765625,13,10,3,76.92307692307693
2021-10-28,2667.75,2713.800048828125,2575.64990234375,2684.300048828125,Loss,16.550048828125,14,10,4,71.42857142857143
2021-11-12,2683.050048828125,2720.0,2609.150146484375,2749.35009765625,Loss,66.300048828125,15,10,5,66.66666666666666
2021-11-18,2684.85009765625,2760.0,2534.55029296875,2621.050048828125,Profit,-63.800048828125,16,11,5,68.75
2022-03-02,2426.300048828125,2498.0,2282.900146484375,2198.699951171875,Profit,-227.60009765625,17,12,5,70.58823529411765
2023-01-27,2736.14990234375,2788.0,2632.44970703125,2727.25,Profit,-8.89990234375,18,13,5,72.22222222222221
2023-02-14,2542.5,2574.39990234375,2478.7001953125,2535.550048828125,Profit,-6.949951171875,19,14,5,73.68421052631578
2023-05-05,2547.25,2537.0,2567.75,2586.050048828125,Profit,38.800048828125,20,15,5,75.0
2023-08-18,2927.050048828125,2989.699951171875,2801.750244140625,2951.75,Loss,24.699951171875,21,15,6,71.42857142857143
