Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-03-12,1100.5999755859375,1087.5,1126.7999267578125,1085.6500244140625,Loss,-14.949951171875,1,0,1,0.0
2018-08-14,1293.0,1290.0,1299.0,1274.75,Loss,-18.25,2,0,2,0.0
2018-09-10,1223.3499755859375,1241.0,1188.0499267578125,1239.550048828125,Loss,16.2000732421875,3,0,3,0.0
2018-11-19,1175.25,1175.0,1175.75,1170.5999755859375,Loss,-4.6500244140625,4,0,4,0.0
2019-04-04,1322.9000244140625,1337.4000244140625,1293.9000244140625,1341.449951171875,Loss,18.5499267578125,5,0,5,0.0
2019-05-30,1535.3499755859375,1513.9000244140625,1578.2498779296875,1531.3499755859375,Loss,-4.0,6,0,6,0.0
2019-09-20,1538.8499755859375,1455.0,1706.5499267578125,1601.5999755859375,Profit,62.75,7,1,6,14.285714285714285
2019-10-25,1588.5999755859375,1613.8499755859375,1538.0999755859375,1578.9000244140625,Profit,-9.699951171875,8,2,6,25.0
2019-12-11,1686.550048828125,1666.0,1727.650146484375,1703.949951171875,Profit,17.39990234375,9,3,6,33.33333333333333
2020-03-18,1171.949951171875,1326.0,863.849853515625,1098.25,Profit,-73.699951171875,10,4,6,40.0
2020-09-04,1380.050048828125,1380.0,1380.150146484375,1326.1500244140625,Profit,-53.9000244140625,11,5,6,45.45454545454545
2020-12-09,1883.550048828125,1836.0999755859375,1978.4501953125,1939.3499755859375,Profit,55.7999267578125,12,6,6,50.0
2021-03-03,1899.5,1855.0,1988.5,1915.8499755859375,Profit,16.3499755859375,13,7,6,53.84615384615385
2021-06-14,1768.050048828125,1789.9000244140625,1724.35009765625,1766.050048828125,Profit,-2.0,14,8,6,57.14285714285714
2021-08-10,1813.25,1785.0,1869.75,1788.0,Loss,-25.25,15,8,7,53.333333333333336
2021-11-11,2054.10009765625,2073.0,2016.30029296875,2082.85009765625,Loss,28.75,16,8,8,50.0
2022-01-10,1947.949951171875,1904.25,2035.349853515625,1926.3499755859375,Loss,-21.5999755859375,17,8,9,47.05882352941176
2022-03-15,1733.75,1784.0,1633.25,1777.0999755859375,Loss,43.3499755859375,18,8,10,44.44444444444444
2022-06-16,1675.800048828125,1742.0,1543.400146484375,1681.5,Loss,5.699951171875,19,8,11,42.10526315789473
2022-09-14,1954.699951171875,1892.0,2080.099853515625,1929.5,Loss,-25.199951171875,20,8,12,40.0
2022-11-16,1965.9000244140625,1914.0,2069.7000732421875,1944.0999755859375,Loss,-21.800048828125,21,8,13,38.095238095238095
2023-03-09,1716.699951171875,1739.300048828125,1671.499755859375,1648.25,Profit,-68.449951171875,22,9,13,40.909090909090914
2023-09-18,1798.3499755859375,1811.0,1773.0499267578125,1756.449951171875,Profit,-41.9000244140625,23,10,13,43.47826086956522
