Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-03-21,8874.650390625,8839.900390625,8944.150390625,8765.2998046875,Loss,-109.3505859375,1,0,1,0.0
2018-07-23,9701.0,9448.0,10207.0,9396.25,Loss,-304.75,2,0,2,0.0
2018-08-07,9411.5,9316.0,9602.5,9148.25,Loss,-263.25,3,0,3,0.0
2019-04-12,7342.85009765625,7188.89990234375,7650.75048828125,7447.4501953125,Profit,104.60009765625,4,1,3,25.0
2019-12-13,7214.9501953125,7043.9501953125,7556.9501953125,7240.64990234375,Profit,25.69970703125,5,2,3,40.0
2020-01-31,6913.5,7035.0,6670.5,7040.89990234375,Loss,127.39990234375,6,2,4,33.33333333333333
2021-04-30,6455.64990234375,6537.10009765625,6292.74951171875,6590.10009765625,Loss,134.4501953125,7,2,5,28.57142857142857
2021-08-03,7199.39990234375,7124.9501953125,7348.29931640625,7100.7998046875,Loss,-98.60009765625,8,2,6,25.0
2021-08-16,6826.85009765625,6982.5,6515.55029296875,6850.89990234375,Loss,24.0498046875,9,2,7,22.22222222222222
2021-09-17,7014.4501953125,6955.0,7133.3505859375,6831.0,Loss,-183.4501953125,10,2,8,20.0
2021-09-24,6952.25,6850.0,7156.75,7384.0498046875,Profit,431.7998046875,11,3,8,27.27272727272727
2021-12-06,7042.85009765625,7193.0,6742.55029296875,7421.75,Loss,378.89990234375,12,3,9,25.0
2021-12-13,7516.39990234375,7485.0,7579.19970703125,7450.7998046875,Loss,-65.60009765625,13,3,10,23.076923076923077
2023-02-20,8693.650390625,8807.75,8465.451171875,8696.25,Loss,2.599609375,14,3,11,21.428571428571427
2023-03-23,8353.2001953125,8264.0,8531.6005859375,8208.7998046875,Loss,-144.400390625,15,3,12,20.0
2023-06-30,9789.0498046875,9569.0,10229.1494140625,9992.2998046875,Profit,203.25,16,4,12,25.0
2023-07-05,9992.2998046875,9697.0,10582.8994140625,9736.2998046875,Loss,-256.0,17,4,13,23.52941176470588
