Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-03-05,185.5500030517578,189.0,178.65000915527344,180.14999389648438,Profit,-5.4000091552734375,1,1,0,100.0
2018-08-08,172.5,167.60000610351562,182.29998779296875,166.0500030517578,Loss,-6.4499969482421875,2,1,1,50.0
2018-08-13,166.0500030517578,168.89999389648438,160.3500213623047,163.0500030517578,Profit,-3.0,3,2,1,66.66666666666666
2018-09-04,174.35000610351562,177.75,167.55001831054688,171.89999389648438,Profit,-2.45001220703125,4,3,1,75.0
2018-12-04,146.14999389648438,142.60000610351562,153.24996948242188,139.39999389648438,Loss,-6.75,5,3,2,60.0
2019-01-02,147.0500030517578,148.0,145.15000915527344,147.85000610351562,Loss,0.8000030517578125,6,3,3,50.0
2019-02-20,144.0500030517578,141.60000610351562,148.9499969482422,147.75,Profit,3.6999969482421875,7,4,3,57.14285714285714
2019-06-17,164.39999389648438,169.5,154.19998168945312,172.0,Loss,7.600006103515625,8,4,4,50.0
2019-06-20,172.0,166.3000030517578,183.39999389648438,166.1999969482422,Loss,-5.8000030517578125,9,4,5,44.44444444444444
2019-08-20,125.05000305175781,126.5999984741211,121.95001220703125,122.25,Profit,-2.8000030517578125,10,5,5,50.0
2020-02-13,105.3499984741211,107.0,102.04999542236328,99.30000305175781,Profit,-6.049995422363281,11,6,5,54.54545454545454
2020-03-18,68.1500015258789,61.599998474121094,81.25000762939453,60.400001525878906,Loss,-7.75,12,6,6,50.0
2020-09-04,77.9000015258789,78.55000305175781,76.5999984741211,72.69999694824219,Profit,-5.200004577636719,13,7,6,53.84615384615385
2020-10-14,67.0,68.5,64.0,69.30000305175781,Loss,2.3000030517578125,14,7,7,50.0
2021-01-21,94.69999694824219,99.05000305175781,85.99998474121094,89.69999694824219,Profit,-5.0,15,8,7,53.333333333333336
2021-08-30,120.1500015258789,116.75,126.95000457763672,118.6500015258789,Loss,-1.5,16,8,8,50.0
2021-10-13,160.0,163.64999389648438,152.70001220703125,158.60000610351562,Profit,-1.399993896484375,17,9,8,52.94117647058824
2021-11-18,154.3000030517578,157.0,148.90000915527344,153.4499969482422,Profit,-0.850006103515625,18,10,8,55.55555555555556
2022-03-15,163.75,168.3000030517578,154.64999389648438,172.5500030517578,Loss,8.800003051757812,19,10,9,52.63157894736842
2022-07-29,134.14999389648438,130.4499969482422,141.54998779296875,135.64999389648438,Profit,1.5,20,11,9,55.00000000000001
2022-09-22,128.64999389648438,130.39999389648438,125.14999389648438,124.44999694824219,Profit,-4.1999969482421875,21,12,9,57.14285714285714
2023-06-21,160.1999969482422,157.0,166.59999084472656,156.89999389648438,Loss,-3.3000030517578125,22,12,10,54.54545454545454
2023-11-03,190.0,186.64999389648438,196.70001220703125,195.35000610351562,Profit,5.350006103515625,23,13,10,56.52173913043478
