Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-04-04,904.3499755859375,939.7000122070312,833.64990234375,960.6500244140625,Loss,56.300048828125,1,0,1,0.0
2018-06-28,836.3499755859375,868.0,773.0499267578125,893.2000122070312,Loss,56.85003662109375,2,0,2,0.0
2018-07-05,838.0,869.5999755859375,774.800048828125,832.8499755859375,Profit,-5.1500244140625,3,1,2,33.33333333333333
2018-07-11,809.5,833.1500244140625,762.199951171875,831.2000122070312,Loss,21.70001220703125,4,1,3,25.0
2018-11-12,894.75,857.0,970.25,920.7999877929688,Profit,26.04998779296875,5,2,3,40.0
2018-11-15,920.7999877929688,892.25,977.8999633789062,915.4500122070312,Loss,-5.3499755859375,6,2,4,33.33333333333333
2019-01-10,966.7000122070312,950.4000244140625,999.2999877929688,968.2999877929688,Profit,1.5999755859375,7,3,4,42.857142857142854
2019-05-06,1082.8499755859375,1142.800048828125,962.9498291015625,1104.449951171875,Loss,21.5999755859375,8,3,5,37.5
2019-06-10,1277.0,1274.6500244140625,1281.699951171875,1295.449951171875,Profit,18.449951171875,9,4,5,44.44444444444444
2019-08-05,1036.800048828125,1059.5,991.400146484375,1041.0999755859375,Loss,4.2999267578125,10,4,6,40.0
2020-03-09,1203.449951171875,1225.0,1160.349853515625,1084.3499755859375,Profit,-119.0999755859375,11,5,6,45.45454545454545
2020-03-18,930.75,1028.0,736.25,800.9500122070312,Profit,-129.79998779296875,12,6,6,50.0
2020-09-03,1185.300048828125,1121.300048828125,1313.300048828125,1162.550048828125,Loss,-22.75,13,6,7,46.15384615384615
2021-12-06,2325.300048828125,2361.35009765625,2253.199951171875,2373.14990234375,Loss,47.849853515625,14,6,8,42.857142857142854
2022-04-29,2458.199951171875,2521.0,2332.599853515625,2262.0,Profit,-196.199951171875,15,7,8,46.666666666666664
2022-08-26,2532.89990234375,2483.050048828125,2632.599609375,2622.0,Profit,89.10009765625,16,8,8,50.0
2023-03-21,2514.050048828125,2475.0,2592.150146484375,2493.35009765625,Loss,-20.699951171875,17,8,9,47.05882352941176
2023-06-23,2939.14990234375,2972.5,2872.44970703125,2975.699951171875,Loss,36.550048828125,18,8,10,44.44444444444444
