Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-01-15,236.25006103515625,239.13755798339844,230.47506713867188,244.01255798339844,Loss,7.7624969482421875,1,0,1,0.0
2018-04-02,217.237548828125,212.6250457763672,226.46255493164062,214.6875457763672,Loss,-2.5500030517578125,2,0,2,0.0
2018-06-05,191.4375457763672,195.15005493164062,184.0125274658203,198.0000457763672,Loss,6.5625,3,0,3,0.0
2018-09-12,246.56256103515625,243.78756713867188,252.112548828125,249.41256713867188,Profit,2.850006103515625,4,1,3,25.0
2018-10-23,231.82505798339844,239.17506408691406,217.1250457763672,240.45005798339844,Loss,8.625,5,1,4,20.0
2019-04-01,261.6499938964844,256.0,272.9499816894531,259.04998779296875,Loss,-2.600006103515625,6,1,5,16.666666666666664
2019-06-10,297.1000061035156,295.75,299.8000183105469,298.3999938964844,Profit,1.29998779296875,7,2,5,28.57142857142857
2019-08-01,270.3999938964844,271.5,268.1999816894531,258.8999938964844,Loss,-11.5,8,2,6,25.0
2019-10-22,253.5500030517578,249.0,262.65000915527344,253.0,Loss,-0.5500030517578125,9,2,7,22.22222222222222
2020-07-20,270.79998779296875,261.3500061035156,289.699951171875,266.6000061035156,Loss,-4.199981689453125,10,2,8,20.0
2020-09-03,282.8500061035156,275.5,297.5500183105469,282.54998779296875,Loss,-0.300018310546875,11,2,9,18.181818181818183
2020-11-09,351.95001220703125,350.0,355.85003662109375,345.54998779296875,Loss,-6.4000244140625,12,2,10,16.666666666666664
2021-04-28,489.29998779296875,485.8500061035156,496.199951171875,487.3500061035156,Loss,-1.949981689453125,13,2,11,15.384615384615385
2021-08-13,615.5,606.0,634.5,629.4000244140625,Profit,13.9000244140625,14,3,11,21.428571428571427
2021-10-28,656.9000244140625,671.0,628.7000732421875,653.7999877929688,Profit,-3.10003662109375,15,4,11,26.666666666666668
2021-11-26,621.4500122070312,632.0,600.3500366210938,634.7999877929688,Loss,13.3499755859375,16,4,12,25.0
2022-02-24,537.1500244140625,548.0,515.4500732421875,555.2000122070312,Loss,18.04998779296875,17,4,13,23.52941176470588
2022-12-01,413.70001220703125,412.8500061035156,415.4000244140625,411.3500061035156,Loss,-2.350006103515625,18,4,14,22.22222222222222
2023-02-02,409.45001220703125,402.3999938964844,423.550048828125,400.5,Loss,-8.95001220703125,19,4,15,21.052631578947366
2023-03-06,393.75,392.45001220703125,396.3499755859375,389.1000061035156,Loss,-4.649993896484375,20,4,16,20.0
2023-03-23,361.5,364.8999938964844,354.70001220703125,356.20001220703125,Profit,-5.29998779296875,21,5,16,23.809523809523807
2023-06-01,407.1499938964844,405.0,411.4499816894531,399.95001220703125,Loss,-7.199981689453125,22,5,17,22.727272727272727
