Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,1:2,Result on 7th Day
2018-04-05,278.6499938964844,267.79998779296875,300.3500061035156,288.79998779296875,Profit,10.149993896484375
2019-06-06,411.54998779296875,417.3999938964844,399.8499755859375,421.3500061035156,Loss,9.800018310546875
2019-09-26,451.95001220703125,439.0,477.85003662109375,424.6000061035156,Loss,-27.350006103515625
2019-11-26,510.70001220703125,501.79998779296875,528.5000610351562,512.5999755859375,Profit,1.89996337890625
2019-12-11,533.5499877929688,530.5999755859375,539.4500122070312,539.25,Profit,5.70001220703125
2019-12-27,549.4000244140625,541.0,566.2000732421875,536.75,Loss,-12.6500244140625
2020-01-06,525.7000122070312,537.25,502.60003662109375,546.2999877929688,Loss,20.5999755859375
2020-08-19,374.45001220703125,374.0,375.35003662109375,380.3500061035156,Profit,5.899993896484375
2020-10-01,369.20001220703125,358.25,391.10003662109375,382.6499938964844,Profit,13.449981689453125
2021-09-16,727.2000122070312,720.0,741.6000366210938,711.8499755859375,Loss,-15.35003662109375
2021-10-14,727.2999877929688,710.25,761.3999633789062,745.8499755859375,Profit,18.54998779296875
2021-12-06,709.5499877929688,719.0,690.6499633789062,755.0,Loss,45.45001220703125
2022-05-12,695.7999877929688,707.5499877929688,672.2999877929688,710.0,Loss,14.20001220703125
